,Digit,AtoF,GtoZ,Point,Pound,Underscore,Asterisk,Slash,Plus,Minus,GT,LT,Equals,Exclamation,BracOpen,BracClose,Colon,SemiColon,CurlyBracketOpen,CurlyBracketClose
start,int,word,word,,pound,under1,mulOp.Mul,mulOp.Div,addOp.Add,addOp.Sub,relop.GT,relop.LT,equals,exclamation,,,,,,
under1,,,,,,under2,,,,,,,,,,,,,,
under2,,sysFunc,sysFunc,,,,,,,,,,,,,,,,,
sysFunc,,sysFunc,sysFunc,,,,,,,,,,,,,,,,,
int,int,,,intPoint,,,,,,,,,,,,,,,,
intPoint,float,,,,,,,,,,,,,,,,,,,
float,float,,,,,,,,,,,,,,,,,,,
pound,hex1,hex1,,,,,,,,,,,,,,,,,,
hex1,hex2,hex2,,,,,,,,,,,,,,,,,,
hex2,hex3,hex3,,,,,,,,,,,,,,,,,,
hex3,hex4,hex4,,,,,,,,,,,,,,,,,,
hex4,hex5,hex5,,,,,,,,,,,,,,,,,,
hex5,colour,colour,,,,,,,,,,,,,,,,,,
colour,,,,,,,,,,,,,,,,,,,,
word,word,word,word,,,word,,,,,,,,,,,,,,
equals,,,,,,,,,,,,,relop.EQ,,,,,,,
exclamation,,,,,,,,,,,,,relop.NE,,,,,,,
relop.GT,,,,,,,,,,,,,relop.GTE,,,,,,,
relop.LT,,,,,,,,,,,,,relop.LTE,,,,,,,
relop.EQ,,,,,,,,,,,,,,,,,,,,
relop.NE,,,,,,,,,,,,,,,,,,,,
relop.GTE,,,,,,,,,,,,,,,,,,,,
relop.LTE,,,,,,,,,,,,,,,,,,,,
mulOp.Mul,,,,,,,,,,,,,,,,,,,,
mulOp.Div,,,,,,,,,,,,,,,,,,,,
addOp.Add,,,,,,,,,,,,,,,,,,,,
addOp.Sub,,,,,,,,,,,,,,,,,,,,
